                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93671,                 1.4536,                 1.2261,                0.96045,                0.99871,                0.99398,                0.79956,                0.69469,                0.78836,                 1.1348,             0.00046717,             0.00046717,             0.00046717
                      2,                0.70731,                0.60181,                 1.0191,                0.93585,                0.96767,                0.97719,                0.76684,                0.81066,                 1.3478,                 1.1645,             0.00093417,             0.00093417,             0.00093417
                      3,                0.72511,                0.56098,                 1.0359,                0.49038,                0.78365,                0.72053,                0.32845,                 2.1401,                 2.2649,                 2.9167,              0.0013917,              0.0013917,              0.0013917
                      4,                0.70331,                0.54506,                 1.0311,                 0.9565,                0.95238,                0.96975,                0.77406,                0.70447,                0.65007,                 1.0884,              0.0013866,              0.0013866,              0.0013866
                      5,                0.66277,                0.48156,                 1.0027,                 0.9285,                0.83677,                 0.9444,                0.77155,                0.68848,                0.62238,                 1.0582,              0.0013724,              0.0013724,              0.0013724
                      6,                0.64518,                0.45676,                 1.0031,                0.80706,                0.91184,                 0.8561,                0.67215,                0.74369,                  1.096,                 1.1095,              0.0013583,              0.0013583,              0.0013583
                      7,                0.64991,                0.43575,                0.99867,                0.96438,                 0.9955,                0.97501,                0.83784,                0.62999,                0.37371,                 1.0347,              0.0013441,              0.0013441,              0.0013441
                      8,                0.60406,                0.42429,                0.97265,                0.99072,                0.99631,                0.99256,                0.84408,                0.70098,                0.41278,                 1.0707,                0.00133,                0.00133,                0.00133
                      9,                0.59083,                0.39294,                0.96873,                0.98209,                      1,                  0.995,                0.86483,                0.65053,                0.33698,                 1.1027,              0.0013158,              0.0013158,              0.0013158
                     10,                 0.5952,                0.39984,                0.97234,                0.99934,                0.99668,                  0.995,                0.85982,                0.60357,                0.35304,                 1.0068,              0.0013017,              0.0013017,              0.0013017
                     11,                0.57733,                0.38077,                0.96716,                0.99155,                0.99892,                0.99496,                0.86692,                 0.5901,                0.34471,                 1.0098,              0.0012875,              0.0012875,              0.0012875
                     12,                0.55411,                 0.3685,                0.95729,                0.97098,                      1,                  0.995,                0.86991,                0.56119,                0.34753,                0.98437,              0.0012734,              0.0012734,              0.0012734
