                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93993,                 1.9884,                 1.2377,                0.93627,                0.79806,                0.94223,                0.74149,                0.79099,                  1.509,                 1.2041,             0.00046717,             0.00046717,             0.00046717
                      2,                0.70069,                0.96208,                 1.0206,                0.99169,                 0.6413,                0.80095,                 0.6418,                 0.7161,                 1.2093,                 1.0825,             0.00093417,             0.00093417,             0.00093417
                      3,                0.69977,                0.81711,                  1.016,                0.98044,                0.91974,                0.96806,                0.79188,                0.80667,                 1.0463,                 1.1191,              0.0013917,              0.0013917,              0.0013917
                      4,                0.67475,                0.73861,                 1.0131,                0.90035,                0.91603,                0.98382,                0.61774,                 1.0122,                 1.3313,                  1.361,              0.0013866,              0.0013866,              0.0013866
                      5,                0.64568,                0.64591,                0.98893,                0.86992,                0.96686,                 0.9859,                0.82358,                0.64531,                0.73256,                 1.0453,              0.0013724,              0.0013724,              0.0013724
                      6,                0.61924,                0.57325,                0.98954,                0.97105,                0.96825,                0.97829,                 0.7962,                0.68536,                0.60471,                 1.0904,              0.0013583,              0.0013583,              0.0013583
                      7,                 0.6245,                0.51371,                0.98612,                0.99648,                      1,                  0.995,                0.83812,                0.64364,                0.47481,                 1.0044,              0.0013441,              0.0013441,              0.0013441
                      8,                0.59813,                0.49601,                0.96965,                0.91502,                0.90667,                0.97717,                0.84997,                0.61499,                0.55176,                 1.0583,                0.00133,                0.00133,                0.00133
                      9,                0.57645,                0.44971,                0.95878,                0.94054,                0.94821,                0.97819,                0.79992,                0.66628,                0.66171,                 1.0732,              0.0013158,              0.0013158,              0.0013158
                     10,                0.57682,                0.45421,                0.96486,                0.92367,                0.96782,                0.98523,                0.84648,                0.57456,                0.53303,                0.96143,              0.0013017,              0.0013017,              0.0013017
